dog_id,shelter_started_at,home_started_at,back_shelter_at,пристройство,возврат
16088,2023-10-09,2025-05-19,,сообщение 2025-05-19: Треф поехал домой,
15099,2021-05-31,2026-04-18,2026-04-27,сообщение 2026-04-18: Латте поехал домой,сообщение 2026-04-27: Латте снова в приюте Латте #шереметьевский #приют #шереметьевскийприют #вдобрыеруки #приютдляживотных #взрослаясобака #песищетхозяина #помощьживотным #собакаизприюта #возьмисприюта #благотворительность #репост #приютмосква #собакаищетдом #ищудом #друг #вдобрыерукимосква #возьмисо ...
16141,2023-12-28,,,,
16374,2025-05-26,2025-06-24,2026-04-14,сообщение 2025-06-24: Оскар поехал домой,сообщение 2026-04-14: Оскара сегодня вернули в приют. Причина неизвестна
15550,2022-10-20,2026-04-18,,сообщение 2026-04-18: Такеши поехал домой,
16412,2025-12-13,2026-03-22,,сообщение 2026-03-22: Абелла поехала домой,
14438,2020-09-15,2021-10-30,2023-12-29,сообщение 2021-10-30: РИКАРДО поехал домой,сообщение 2023-12-29: Рикардо вернулся в приют
16058,2023-08-14,2026-04-24,,сообщение 2026-04-24: Сладкий пирожок поехал домой,
16022,2023-06-30,2024-03-30,2024-04-01,сообщение 2024-03-30: Бутуз поехал домой,
16022,2023-06-30,2025-01-04,2025-01-08,сообщение 2025-01-04: Бутуз поехал домой,"сообщение 2025-01-08: Бутуз вернулся в приют( так что продолжаем ему искать дом. Очень ждем и надеемся, что короля заметят, и заберут в свое королевство"
15829,2022-11-19,,,,
16243,2024-05-12,2024-06-09,,сообщение 2024-06-09: Орион поехал домой,
16243,2024-05-12,2025-08-13,,сообщение 2025-08-13: Орион поехал домой,
14433,2020-03-30,2020-05-31,2023-10-21,"сообщение 2020-05-31: Винсент поехал домой. Удачи, малыш",сообщение 2023-10-21: спустя 3 года дома вернули в приют.
16154,2024-01-16,,,,
8886,2015-04-26,2015-08-22,2015-08-31,"сообщение 2015-08-22: (ИСПЫТАТЕЛЬНЫЙ) Горец сегодня уехал домой *KISSING* очень сильно укачало в машине, истошнился весь.","сообщение 2015-08-31: Имя двоякое, всяких людей слабохарактерных привлекает звучностью и силой, а в то же время знакомые русскому уху аллитерации никто не отменял :'( Безумно жаль, что снова в приюте!"
15350,2021-11-08,,,,
16118,2023-11-25,,,,
14133,2023-01-01,,,,
15922,2023-02-27,,,,
15936,2023-03-13,,,,
16265,2024-06-07,2026-04-18,,сообщение 2026-04-18: Рассел поехал домой,
14039,2023-07-02,2026-03-29,,заголовок темы: РИДДИК - ЧЕРНЫЙ КРАСАВЧИК! СЫН РИЦЫ! НУЖЕН ДОМ!!! В ПРИЮТЕ! (ИСПЫТАТЕЛЬНЫЙ с 29.03),
16190,2024-02-28,,,,
15317,2023-01-01,,,,
16201,2024-03-15,,,,
13149,2018-05-09,2021-06-12,,сообщение 2021-06-12: Юкка поехала домой,
13149,2018-05-09,2023-01-18,2023-01-19,сообщение 2023-01-18: Юкка поехала домой,сообщение 2023-01-19: Возврат.
13149,2018-05-09,2024-01-21,,сообщение 2024-01-21: Юкка поехала домой,
14611,2020-07-06,2020-09-10,,сообщение 2020-09-10: ЯРИЛ поехал домой,
14611,2020-07-06,2023-01-31,,сообщение 2023-01-31: Мальчишка Ярил поехал домой! Удачи!,
14611,2020-07-06,2023-07-10,2023-09-08,"сообщение 2023-07-10: Ярил уже полгода вроде как уехал домой,а почему-то не в теме пристроенных",сообщение 2023-09-08: Волею судьбы Яричка опять в приюте.
14909,2021-01-22,2021-03-30,,"сообщение 2021-03-30: Красавчик Люцерн поехал домой Дай Бог, чтобы всë сложилось",
14909,2021-01-22,2021-05-16,2021-06-23,сообщение 2021-05-16: Люцик поехал домой￼,сообщение 2021-06-23: Неужели проблема со здоровьем причина возврата.
14909,2021-01-22,2021-08-24,,сообщение 2021-08-24: Люцерн поехал домой. Будем тихо надеяться (громко уже страшновато..).. Пусть получится у ребенка ))),
14909,2021-01-22,2022-01-29,,"сообщение 2022-01-29: ЛЮЦЕРН поехал домой! Людям рассказали ВСЁ по три раза, очень надеемся на лучшее",
14909,2021-01-22,2022-06-14,2022-09-21,сообщение 2022-06-14: Люцерн поехал домой. Пусть всë получится,"сообщение 2022-09-21: - пишут, что все хорошо и возврат через пару месяцев."
14909,2021-01-22,2023-05-12,2023-05-29,сообщение 2023-05-12: Люцерн поехал домой,"сообщение 2023-05-29: Тут было ясно сразу, что будет возврат."
14909,2021-01-22,2024-02-15,,сообщение 2024-02-15: Люцерн поехал домой,
15695,2022-07-01,,,,
15474,2022-01-27,,,,
16098,2023-10-26,,,,
16250,2024-05-26,2024-07-23,,сообщение 2024-07-23: Дукалис поехал домой,
16250,2024-05-26,2024-09-27,2025-01-05,сообщение 2024-09-27: Дукалис поехал домой,
16114,2023-11-19,2025-05-02,,сообщение 2025-05-02: Гермес поехал домой,
14768,2020-10-09,,,,
15635,2022-05-16,,,,
16050,2023-08-30,2024-06-24,,сообщение 2024-06-24: Якобс поехал домой,
14839,2020-11-28,2020-12-16,,сообщение 2020-12-16: Тэги поехал домой,
14839,2020-11-28,2021-10-31,2021-11-21,"сообщение 2021-10-31: Тэги поехал домой. Удачи, малыш",
15627,2022-05-09,2023-10-29,2024-09-16,сообщение 2023-10-29: Шейна поехала домой,"сообщение 2024-09-16: Собаку вернули в приют. Молча без предварительного звонка. уходили весело, собака явно была не нужна и не любима"
15627,2022-05-09,2025-09-09,,сообщение 2025-09-09: Шейна поехала домой под бочок к Лемару,
16428,2026-03-02,,,,
15121,2021-06-13,2021-06-27,,"сообщение 2021-06-27: Бимка поехал домой. Удачи, малыш",
15121,2021-06-13,2025-10-28,,сообщение 2025-10-28: Белый Бим поехал домой,
15121,2021-06-13,2026-04-20,,сообщение 2026-04-20: Белый Бим поехал домой,
16427,2026-02-13,,,,
14671,2020-08-15,2021-05-11,,"сообщение 2021-05-11: Для того , чтобы собака поехала домой , надо чтобы в приюте с ней кто то занимался , а не тупо он сидел в вольере и дурел.",
16252,2024-05-27,,,,
16100,2023-10-30,2023-12-27,,сообщение 2023-12-27: Чешира поехала домой,
15902,2023-02-12,2023-04-12,2024-11-29,сообщение 2023-04-12: Орейра поехала домой,сообщение 2024-11-29: Орейра вернулась в приют по семейным обстоятельствам
15902,2023-02-12,2025-01-22,,сообщение 2025-01-22: Орейра поехала домой,
14181,2019-11-17,2021-04-05,,"сообщение 2021-04-05: Так хочется, чтобы ты поскорее уехал домой.",
14181,2019-11-17,2021-12-08,,"сообщение 2021-12-08: Чарлик поехал домой. Удачи, малыш Держу за тебя кулачки. Пусть все получится",
14181,2019-11-17,2022-07-30,,сообщение 2022-07-30: Яджер уехал домой. С кем же теперь Чарльз коротает дни и ночи? Неужели опять с Геранькой?,
16432,2026-03-20,,,,
14385,2020-02-19,2021-05-08,2026-02-18,"сообщение 2021-05-08: Малина уехала домой к Кате в Конаково. В компанию к ЯНате, Эдику и Бархату",сообщение 2026-02-18: Вчера Малина вернулась в приют. Серьезно заболела хозяйка
13153,2022-01-01,,,,
14220,2019-12-01,2019-12-10,,сообщение 2019-12-10: Мальчик сегодня уехал домой),
14220,2019-12-01,2021-10-28,2021-11-05,"сообщение 2021-10-28: Рокет поехал домой. Удачи, малыш",сообщение 2021-11-05: А причина возврата какая? Какие проблемы в поведении Роекта?
16411,2025-12-02,,,,
16127,2023-12-03,,,,
15291,2021-10-01,2022-05-12,2022-09-25,,"сообщение 2022-09-25: Сегодня Басэма вернули в приют по причине массовой истерии… Просто притащили, сунули поводок в руки работника и удалились. Вот и вся любовь человеческая… Малыш в стрессе, конечно((("
16081,2023-10-01,,,,
15964,2023-04-09,2023-09-23,2024-02-17,сообщение 2023-09-23: Гром поехал домой,
16405,2025-10-28,,,,
16390,2025-08-17,2025-10-25,,сообщение 2025-10-25: Аделина поехала домой,
16223,2024-04-25,2024-07-10,,сообщение 2024-07-10: Батлер поехал домой,
15758,2022-09-06,,,,
16276,2024-06-19,,,,
15292,2022-03-24,,,,
15588,2022-04-04,2022-04-11,,"сообщение 2022-04-11: Ясир поехал домой. Удачи, малыш",
15913,2023-02-21,,,,
14119,2019-10-24,,,,
13607,2023-01-01,,,,
16235,2024-05-11,,,,
13456,2022-01-01,,,,
13818,2021-10-02,,2021-10-02,,сообщение 2021-10-02: Вернулся в приют сегодня.
15442,2022-01-14,,,,
15484,2022-02-07,,,,
13889,2021-01-01,2022-01-13,2022-01-23,"сообщение 2022-01-13: Тихонечко, затаив дыхание, говорим, что Марсель два дня назад уехал домой! Пока полет нормальный!",
15752,2022-08-26,,,,
15298,2021-10-01,2022-09-04,,сообщение 2022-09-04: Кромвель поехал домой,
15298,2021-10-01,2022-11-05,2022-11-25,сообщение 2022-11-05: Кромвель поехал домой,
15298,2021-10-01,2022-12-08,2023-09-21,сообщение 2022-12-08: Кромвель поехал домой,
15557,2022-03-20,2023-07-22,,сообщение 2023-07-22: Наскар поехал домой,
13032,2020-01-01,2020-10-04,2021-04-20,"сообщение 2020-10-04: Сонет поехал домой. Удачи, малыш",сообщение 2021-04-20: И потом бах и возврат.
14855,2020-12-11,2020-12-15,,"сообщение 2020-12-15: суок сказал(а): Очень редкий случай,когда я рада что собаку не забрали домой! У парня думаю будет немало шансов найти настоящих хозяев. Нажмите, чтобы раскрыть... Однозначно",
14855,2020-12-11,2021-02-03,,сообщение 2021-02-05: 02 - поехал домой.,
14855,2020-12-11,2021-07-04,,сообщение 2021-07-04: ДИЗЕЛЕК поехал домой,
14855,2020-12-11,2022-02-19,,сообщение 2022-02-26: 19.02.2022 Дизелек уехал домой,
14892,2021-01-09,,,,
15899,2023-02-10,,,,
16217,2024-04-12,2024-05-30,,сообщение 2024-05-30: Пресли поехал домой,
16217,2024-04-12,2024-09-21,2024-12-30,сообщение 2024-09-21: Пресли поехал домой,"сообщение 2024-12-30: К сожалению, не могу сказать, что возврат не связан с собакой , дело именно в нем."
16037,2023-07-16,,,,
15594,2022-04-08,2024-09-26,2024-11-12,"сообщение 2024-09-26: Делона поехала домой - YouTube Смотрите любимые видео, слушайте любимые песни, загружайте собственные ролики и делитесь ими с друзьями, близкими и целым миром. youtube.com","сообщение 2024-11-12: Делоночка вернулась в приют Делона.mp4 Смотрите онлайн короткое видео (shorts) канала «NataliyaRV» в хорошем качестве, опубликованное 12 ноября 2024 года в 15:51, длительностью 00:00:14, на видеохостинге RUTUBE. rutube.ru"
15177,2021-07-15,2022-10-30,,сообщение 2022-10-30: Тодин поехал домой!,
15177,2021-07-15,2023-05-18,,сообщение 2023-05-18: Тодин поехал домой,
16128,2023-12-03,,,,
15868,2023-01-05,,,,
15735,2022-08-05,2022-08-16,2025-05-03,сообщение 2022-08-16: Ярни поехал домой под бочок к нашему Тутанхамону,
15595,2022-04-08,2022-08-13,,сообщение 2022-08-13: Данди поехал домой,
15595,2022-04-08,2023-05-07,,сообщение 2023-05-07: Данди поехал домой,
15595,2022-04-08,2023-07-16,,сообщение 2023-07-16: Данди поехал домой,
15595,2022-04-08,2023-08-05,2023-08-21,сообщение 2023-08-05: Данди поехал домой,"сообщение 2023-08-21: Мне хотелось бы знать реальные причины возврата собаки. Потому что с каждым возвратом новые «истории». На него очень плохо влияют эти поездки туда сюда и смена «хозяев»…. Хочется, чтобы следующие руки действительно были осведомлены обо всех моментах и реально готовы к ним, чтобы без мотыляния несчастного Д ..."
14701,2020-09-01,2021-06-27,,"сообщение 2021-06-27: Даллас поехал домой. Удачи, малыш",
14598,2020-01-20,2020-09-27,2021-01-20,сообщение 2020-09-27: ВАШИНГТОН поехал домой УДАЧИ!!,"сообщение 2021-01-20: Мне очень не нравится, когда собак возвращают, я продумывала не один день решение взять сначала Айну, затем целый год зрела до Старка, но такой возврат мне кажется более лучше, чем когда втихаря теряют интерес или не могут полюбить, не сдают, а издеваются над собакой, все знают о чём я. Вот подавляющее большинство всё-таки отличные хозы, а ""паршивые овцы"" есть везде"
15567,2022-03-26,,,,
15480,2022-01-28,2022-12-11,,сообщение 2022-12-11: Тайрес поехал домой,
15480,2022-01-28,2024-02-25,,сообщение 2024-02-25: Тайрес поехал домой,
15480,2022-01-28,2024-04-07,2024-08-03,сообщение 2024-04-07: Тайрес поехал домой,"сообщение 2024-08-03: В чем причина возврата, люди не могут найти компромисс… да а как он к кошкам ?"
15620,2022-05-06,,,,
